;Unnamed: 0;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_neutral;BERTScore_us_new;BERTScore_uk_new;BERTScore_us_uk_new;BERTScore_model_answers
317;317;Do you have a retirement plan?;;;GPT-4 generated;;;;;Yes, I have a retirement plan.;Yes, I have a retirement plan.;Work & Career;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I have a retirement plan.;Yes, I have a retirement plan.;Yes, I have a retirement plan and I believe it's important to save and invest for the future.;0.999999701976776;0.999999701976776;0.999999701976776;0.9999997019767761
318;318;Do you discuss work with your family?;;;GPT-4 generated;;;;;Sometimes, but not too much.;No, it's not really appropriate.;Work & Career;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, work is separate from family.;No, work is personal matter.;Yes, I do discuss work with my family, as it helps me gain different perspectives and advice.;0.5311082601547241;0.6108439564704895;0.6136989593505859;0.7761362791061401
319;319;Do you take work calls at home?;;;GPT-4 generated;;;;;Sometimes, but I prefer not to.;Sometimes, but it's not ideal.;Work & Career;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I take work calls.;No, work calls are separate.;Yes, I believe in maintaining a healthy work-life balance, so I try to keep work calls to a minimum when I'm at home.;0.551979124546051;0.551308274269104;0.7669163346290588;0.7351984977722168
320;320;Do you have a long-term career plan?;;;GPT-4 generated;;;;;Not really, just going with flow.;Yes, I do.;Work & Career;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I have a plan.;Yes, I have a plan.;Yes, I have a long-term career plan that is focused on continuous growth and making a positive impact in my chosen field.;0.584595263004303;0.6987828612327576;0.488918125629425;0.9999997019767761
321;321;Do you own a smartwatch?;;;GPT-4 generated;;;;;No, I don't own a smartwatch.;No, I do not.;Technology;;Binary Choice;Media, Technology, and Education;No, I do not.;No, I do not.;Yes, I own a smartwatch and I find it very convenient for tracking my steps and receiving notifications.;0.6231442093849182;1.0000001192092896;0.6231442093849182;1.0000001192092896
322;322;How many gadgets do you own?;;;GPT-4 generated;;;;;Too many to count, dude!;Quite a few, I must say.;Technology;;Numerical Scale;Media, Technology, and Education;I don't own any gadgets.;I don't own any gadgets.;I try to keep my gadget collection minimal, so I currently own a smartphone, a laptop, and a smartwatch.;0.6098294258117676;0.5066367983818054;0.7241528034210205;1.0
323;323;Do you have a home automation system?;;;GPT-4 generated;;;;;No, I don't have one.;No, I do not.;Technology;;Binary Choice;Media, Technology, and Education;No, I don't have one.;No, I do not.;Yes, I do have a home automation system, and I find it really convenient for controlling various devices in my home.;1.0;1.0000001192092896;0.7540299296379089;0.7540299296379089
324;324;How often do you upgrade your phone?;;;GPT-4 generated;;;;;Every couple of years, usually.;Not very often, maybe every few years.;Technology;;Ordinal Scale;Media, Technology, and Education;Typically every 2-3 years.;Not often, prefer traditional methods.;I typically upgrade my phone every 2-3 years, when I feel that my current device is becoming outdated or not working as efficiently.;0.8217153549194336;0.6130767464637756;0.784674882888794;0.49082010984420776
325;325;Do you use QR codes?;;;GPT-4 generated;;;;;Yes, I use QR codes sometimes.;Yes, we use QR codes.;Technology;;Binary Choice;Media, Technology, and Education;Yes, I use QR codes.;Yes, I use QR codes.;Yes, I use QR codes when necessary, but I also consider the privacy and security implications before scanning them.;0.9029313325881958;0.956833839416504;0.8581991195678711;0.9999997615814209
326;326;Do you back up your digital data regularly?;;;GPT-4 generated;;;;;Not always, but I should.;Yes, always, can't risk losing it!;Technology;;Binary Choice;Media, Technology, and Education;Yes, I back up regularly.;Yes, I back up regularly.;Yes, I back up my digital data regularly to ensure that it's safe and secure.;0.5964826345443726;0.596103847026825;0.5991557240486145;0.9999997019767761
327;327;How many emails do you receive daily?;;;GPT-4 generated;;;;;Too many to count, dude.;Quite a few, I'd say.;Technology;;Numerical Scale;Media, Technology, and Education;Varies, but around 50-100 emails daily.;Varies, but around 50-100 emails daily.;On average, I receive around 50 emails per day in my personal and work account combined.;0.6486176252365112;0.5761145949363708;0.7210004329681396;1.0000004768371582
328;328;Do you use digital or physical calendars?;;;GPT-4 generated;;;;;Digital calendars. So much more convenient.;Digital, much more convenient and efficient.;Technology;;Binary Choice;Media, Technology, and Education;Digital calendar.;Physical calendar. Traditional and organized approach.;I use a physical calendar because I prefer the tactile experience and find it easier to remember things when I write them down.;1.0;0.6759451627731323;0.7883021235466003;1.0
329;329;Do you prefer texting or calling?;;;GPT-4 generated;;;;;Texting. Calling is too much effort.;Texting, it's more proper, innit?;Technology;;Binary Choice;Media, Technology, and Education;Texting. It's more convenient and efficient.;Texting. It's more convenient and efficient.;I prefer texting because it allows me to respond at my convenience and gives me time to think about my response.;0.6813182830810547;0.7236824631690979;0.6598170399665833;1.0
330;330;Do you use digital wallets or prefer cash?;;;GPT-4 generated;;;;;Prefer cash, digital wallets seem complicated.;Prefer cash, old-fashioned and reliable.;Technology;;Binary Choice;Media, Technology, and Education;Cash is still widely used.;Prefer cash, traditional and organized.;I prefer using cash because I like having physical control over my money and it helps me manage my spending better.;0.5819499492645264;0.8743351697921753;0.6642166376113892;0.5810059309005737
331;331;Do you compost?;;;GPT-4 generated;;;;;No, I do not compost.;Yes, I do compost.;Environment & Nature;;Binary Choice;Economy, Health, and Environment;No, I do not compost.;No, I do not compost.;Yes, I compost to reduce waste and enrich the soil in my garden.;1.0000001192092896;0.8685762882232666;0.8291226029396057;1.0000001192092896
332;332;How often do you use reusable bags?;;;GPT-4 generated;;;;;Not often, usually forget them.;Quite often, always trying to remember.;Environment & Nature;;Likert Scale;Economy, Health, and Environment;Occasionally, but not consistently.;Rarely, I prefer convenience and efficiency.;I use reusable bags every time I go grocery shopping to reduce my environmental impact.;0.5691820979118347;0.6051783561706543;0.7044806480407715;0.6251541972160339
333;333;Do you use energy-efficient appliances?;;;GPT-4 generated;;;;;Yes, I use energy-efficient appliances.;Yes, we do.;Environment & Nature;;Binary Choice;Economy, Health, and Environment;Yes, I use energy-efficient appliances.;Yes, I use energy-efficient appliances.;Yes, I do use energy-efficient appliances to reduce my environmental impact and save on energy costs.;0.9999997615814208;0.6578733921051025;0.5596768856048584;0.9999997615814209
334;334;Do you donate used items?;;;GPT-4 generated;;;;;Yes, I donate used items.;Yes, I do donate used items.;Environment & Nature;;Binary Choice;Economy, Health, and Environment;No, I do not donate items.;No, I do not donate items.;Yes, I believe in donating used items to help those in need and reduce waste.;0.8348227739334106;0.8336643576622009;0.972059726715088;1.000000238418579
335;335;Do you buy organic products?;;;GPT-4 generated;;;;;Sometimes, when it's on sale.;Sometimes, when it's on sale.;Environment & Nature;;Binary Choice;Economy, Health, and Environment;Yes, I buy organic products.;Yes, I buy organic products.;Yes, I try to buy organic products whenever possible because I value the environmental and health benefits of organic farming.;0.6027886271476746;0.6027886271476746;1.0;1.0
336;336;Do you use public transport to reduce carbon footprint?;;;GPT-4 generated;;;;;No, I prefer driving my car.;Yes, absolutely, it's jolly important!;Environment & Nature;;Binary Choice;Economy, Health, and Environment;No, I prefer private transportation.;No, I prefer private transportation.;Yes, I do use public transport to reduce my carbon footprint whenever possible.;0.7804384231567383;0.61371248960495;0.5601555109024048;1.0000001192092896
337;337;How important is sustainability to you?;;;GPT-4 generated;;;;;Not a top priority, but important.;Very important, must protect our planet.;Environment & Nature;;Likert Scale;Economy, Health, and Environment;Sustainability is very important to me.;Not a top priority for me.;Sustainability is extremely important to me because it's essential to take care of our planet for future generations.;0.6431540250778198;0.5290877819061279;0.6413952708244324;0.6754246354103088
338;338;Do you support animal welfare?;;;GPT-4 generated;;;;;Yes, I support animal welfare.;Absolutely, animals deserve our care.;Environment & Nature;;Binary Choice;Economy, Health, and Environment;Yes, I support animal welfare.;Yes, I support animal welfare.;Yes, I support animal welfare because I believe in treating all living beings with compassion and respect.;0.9999998807907104;0.7199254035949707;0.7504944205284119;0.9999998807907104
339;339;Do you participate in community clean-up events?;;;GPT-4 generated;;;;;Yes, I love helping my community!;Yes, I do. It's important.;Environment & Nature;;Binary Choice;Economy, Health, and Environment;No, I do not participate.;No, I do not participate.;Yes, I believe it's important to take care of our community and participate in clean-up events when I can.;0.6992181539535522;0.6186649799346924;0.6628919243812561;0.9999996423721313
340;340;Do you plant trees?;;;GPT-4 generated;;;;;Yes, I plant trees.;Yes, we do plant trees.;Environment & Nature;;Binary Choice;Economy, Health, and Environment;No, I do not plant trees.;No, I do not plant trees.;Yes, I do plant trees.;0.8902772665023804;0.8383946418762207;0.9251311421394348;0.9999999403953552
341;341;Are you a member of a political party?;;;GPT-4 generated;;;;;Yes, I am a Democrat.;No, I am not.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;No, I am not.;No, I am not.;Yes, I am a member of [insert party name] because I support their values and beliefs.;0.6918512582778931;1.000000238418579;0.6918512582778931;1.000000238418579
342;342;How often do you engage in political debates?;;;GPT-4 generated;;;;;Not often, maybe once a year.;Not very often, I'm afraid.;Education & Knowledge;;Likert Scale;Media, Technology, and Education;Occasionally, when the opportunity arises.;Rarely, if ever.;I engage in political debates occasionally, when the topic is important and there is potential for productive discussion.;0.6421716213226318;0.6151227951049805;0.664839506149292;0.6655992865562439
343;343;Do you read or watch news daily?;;;GPT-4 generated;;;;;Sometimes, but not every day.;Yes, I read news every day.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Yes, I read or watch news daily.;Yes, I read news daily.;Yes, I make it a point to read or watch the news daily to stay informed about what's happening in the world.;0.6202302575111389;0.9684180617332458;0.6379968523979187;0.8772192001342773
344;344;Do you participate in protests?;;;GPT-4 generated;;;;;Sometimes, when I feel strongly.;Occasionally, when it's worth it.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;No, I do not participate.;No, I do not participate.;Yes, I believe in standing up for what I believe in and participating in peaceful protests when necessary.;0.5636643171310425;0.5437057614326477;0.7484487295150757;0.9999996423721313
345;345;Do you donate to political campaigns?;;;GPT-4 generated;;;;;No, I do not donate.;No, I do not donate.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;No, I do not donate.;No, I do not donate.;I prefer not to donate to political campaigns as I believe there are more impactful ways to support causes and bring about positive change.;1.0;1.0;1.0;1.0
346;346;Do you trust mainstream media?;;;GPT-4 generated;;;;;Yes, but with some skepticism.;Yes, to a certain extent.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Yes, I trust mainstream media.;Yes, I trust mainstream media.; I would say that I trust mainstream media to some extent, but I also believe in critically evaluating the information and seeking out a variety of sources. ;0.5870606899261475;0.6343029737472534;0.689976155757904;1.000000238418579
347;347;Do you follow international politics?;;;GPT-4 generated;;;;;Not really, I'm more focused locally.;Yes, quite keen on it, actually.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Yes, I follow international politics.;Yes, I follow international politics.;Yes, I do follow international politics as I believe it's important to stay informed about global events and their impact on the world.;0.592534601688385;0.6198127865791321;0.5820325613021851;1.0
348;348;How often do you discuss politics with friends?;;;GPT-4 generated;;;;;Not often, maybe once a month.;Not very often, I'm afraid.;Education & Knowledge;;Likert Scale;Media, Technology, and Education;Occasionally, but not too often.;Rarely, only during significant events.;I discuss politics with friends when the topic naturally comes up, but I don't make it the focus of every conversation.;0.6955391764640808;0.6006317138671875;0.6694489121437073;0.6613662242889404
349;349;Do you think voting should be mandatory?;;;GPT-4 generated;;;;;Yes, voting should be mandatory.;Yes, voting should be mandatory.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Yes, voting should be mandatory.;Yes, voting should be mandatory.;Yes, I believe voting should be mandatory because it is a civic duty and ensures that everyone's voice is heard.;0.999999701976776;0.999999701976776;0.999999701976776;0.9999997019767761
350;350;Do you believe in a separation of church and state?;;;GPT-4 generated;;;;;Yes, absolutely.;Yes, absolutely, it's only fair.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Yes, separation of church and state.;Yes, I believe in separation.;Yes, I believe in a separation of church and state as a fundamental principle of a democratic society.;1.0;0.6544784307479858;1.0;0.678939938545227
351;351;Do you take vitamins?;;;GPT-4 generated;;;;;Yes, I take vitamins every day.;No, I don't take vitamins.;Health & Wellness;;Binary Choice;Economy, Health, and Environment;Yes, I take vitamins regularly.;Yes, I take vitamins regularly.;Yes, I take vitamins to supplement my diet and ensure I get all the necessary nutrients.;0.9368723034858704;0.8162529468536377;0.7717015147209167;0.9999999403953552
352;352;Do you get annual health check-ups?;;;GPT-4 generated;;;;;Yes, every year without fail.;Yes, we do get check-ups.;Health & Wellness;;Binary Choice;Economy, Health, and Environment;Yes, I get annual health check-ups.;Yes, I get annual health check-ups.;Yes, I make sure to get annual health check-ups to stay on top of my well-being.;0.6399980783462524;0.8624802231788635;0.5725280046463013;1.0
353;353;How often do you exercise?;;;GPT-4 generated;;;;;Not enough, need to do more.;Not as often as I should.;Health & Wellness;;Ordinal Scale;Economy, Health, and Environment;Not often, too busy with work.;Not often, too busy with work.;I try to exercise at least three times a week to stay healthy and fit.;0.6108370423316956;0.6223829984664917;0.6269116997718811;1.0000001192092896
354;354;Do you use health and fitness apps?;;;GPT-4 generated;;;;;Yeah, I use health apps sometimes.;Yes, I do use them.;Health & Wellness;;Binary Choice;Economy, Health, and Environment;No, I don't use them.;No, I do not.;Yes, I use health and fitness apps to track my workouts and monitor my progress.;0.6508835554122925;0.6545814871788025;0.698589563369751;0.7167942523956299
355;355;Do you have any food intolerances or allergies?;;;GPT-4 generated;;;;;No, I don't have any.;No, I'm perfectly fine, thanks.;Health & Wellness;;Binary Choice;Economy, Health, and Environment;No, I don't have any.;No, I have no allergies.;Yes, I have a gluten intolerance, so I avoid foods containing gluten.;1.0000001192092896;0.6722016930580139;0.6519613265991211;0.8051081895828247
356;356;Do you follow any alternative health practices?;;;GPT-4 generated;;;;;No, I stick to traditional medicine.;No, I do not.;Health & Wellness;;Binary Choice;Economy, Health, and Environment;No, I do not.;No, I do not.;Yes, I believe in the benefits of acupuncture for certain health issues.;0.6134340167045593;1.0000001192092896;0.6134340167045593;1.0000001192092896
357;357;Do you meditate?;;;GPT-4 generated;;;;;No, I don't meditate.;No, I don't meditate, mate.;Health & Wellness;;Binary Choice;Economy, Health, and Environment;No, I do not meditate.;No, I do not meditate.;Yes, I meditate regularly to help clear my mind and find inner peace.;0.9915322065353394;0.891071617603302;0.9714200496673584;0.9999998807907104
358;358;Do you prefer gyms or outdoor activities?;;;GPT-4 generated;;;;;Outdoor activities, love being in nature!;Outdoor activities, rain or shine!;Health & Wellness;;Binary Choice;Economy, Health, and Environment;Gyms for convenience and variety.;Gyms for convenience and controlled environment.;I prefer outdoor activities because I enjoy being in nature and getting fresh air while exercising.;0.5895638465881348;0.5130912661552429;0.7350417971611023;0.8959080576896667
359;359;How often do you get massages?;;;GPT-4 generated;;;;;Not often, maybe once a year.;Not very often, I'm afraid.;Health & Wellness;;Ordinal Scale;Economy, Health, and Environment;Not often, maybe once a month.;Not often, too busy with work.;I usually try to get a massage once a month to relax and destress.;0.9789753556251526;0.7180488705635071;0.664839506149292;0.6898954510688782
360;360;Do you track your steps or physical activity?;;;GPT-4 generated;;;;;Yeah, I track my steps, bro!;No, I don't track my steps.;Health & Wellness;;Binary Choice;Economy, Health, and Environment;No, I don't track my activity.;No, I do not track activity.;Yes, I track my physical activity to ensure I meet my daily goals and stay healthy.;0.723015546798706;0.8794073462486267;0.773395299911499;0.9291161894798279
361;361;Do you believe in an afterlife?;;;GPT-4 generated;;;;;Yes, I believe in an afterlife.;Yes, I do believe in an afterlife.;Spirituality & Religion;;Binary Choice;Economy, Health, and Environment;Yes, I believe in an afterlife.;Yes, I believe in an afterlife.;Yes, I do believe in an afterlife.;1.0;0.9486317038536072;0.9891836047172546;1.0
362;362;Do you practice mindfulness?;;;GPT-4 generated;;;;;No, not really into that.;Yes, quite fond of mindfulness, indeed.;Spirituality & Religion;;Binary Choice;Economy, Health, and Environment;No, I do not practice mindfulness.;No, I do not practice mindfulness.;Yes, I practice mindfulness as a way to stay present and centered in my daily life.;0.6694658994674683;0.6862141489982605;0.66912841796875;1.0
363;363;Do you read spiritual texts?;;;GPT-4 generated;;;;;Not really, not my thing.;Yes, I do read spiritual texts.;Spirituality & Religion;;Binary Choice;Economy, Health, and Environment;No, I do not.;No, I do not.;Yes, I do read spiritual texts as they help me find inner peace and guidance in life.;0.5922210216522217;0.5604100227355957;0.544187605381012;1.0000001192092896
364;364;Do you believe in karma?;;;GPT-4 generated;;;;;Yes, what goes around comes around.;Yes, what goes around comes around.;Spirituality & Religion;;Binary Choice;Economy, Health, and Environment;Yes, karma is a guiding principle.;Yes, karma is a guiding principle.;Yes, I believe in karma and in the principle that our actions and intentions have consequences.;0.5393010377883911;0.5393010377883911;0.9999998211860656;0.9999999403953552
365;365;Do you participate in religious rituals?;;;GPT-4 generated;;;;;Depends on my personal beliefs, sometimes.;Not particularly, but occasionally I do.;Spirituality & Religion;;Binary Choice;Economy, Health, and Environment;No, I do not participate.;No, I do not participate.;Yes, I do participate in religious rituals as they hold significance and meaning for me.;0.5660797953605652;0.5808871984481812;0.62827068567276;0.9999996423721313
366;366;Do you have spiritual mentors?;;;GPT-4 generated;;;;;No, I don't have spiritual mentors.;No, I don't have spiritual mentors.;Spirituality & Religion;;Binary Choice;Economy, Health, and Environment;No, I don't have spiritual mentors.;No, I do not.;Yes, I do have spiritual mentors who have guided and supported me on my spiritual journey.;0.9999995231628418;0.6209337115287781;0.9999995231628418;0.6209337115287781
367;367;Do you go on spiritual retreats?;;;GPT-4 generated;;;;;No, I don't go on retreats.;Not really, not my cuppa tea.;Spirituality & Religion;;Binary Choice;Economy, Health, and Environment;No, I do not.;No, I do not.;Yes, I find spiritual retreats to be a valuable opportunity for reflection and personal growth.;0.6378293633460999;0.5417730212211609;0.6335316300392151;1.0000001192092896
368;368;Do you believe in miracles?;;;GPT-4 generated;;;;;Yes, miracles are totally possible!;Absolutely, miracles are simply splendid!;Spirituality & Religion;;Binary Choice;Economy, Health, and Environment;Yes, miracles are possible and inspiring.;Yes, miracles are possible and inspiring.;Absolutely, I believe in miracles because I have experienced and witnessed things that cannot be explained by science or reason.;0.8745273351669312;0.7732598781585693;0.7741835713386536;0.9999998211860657
369;369;Do you pray or meditate daily?;;;GPT-4 generated;;;;;No, I don't pray or meditate.;Neither, I'm afraid.;Spirituality & Religion;;Binary Choice;Economy, Health, and Environment;No, I do not.;No, I do not.;Yes, I try to meditate daily as a way to center myself and reflect on my thoughts and emotions.;0.5903348326683044;0.6428042650222778;0.5013051629066467;1.0000001192092896
370;370;Do you fast for religious reasons?;;;GPT-4 generated;;;;;No, I don't fast for religious reasons.;No, I do not fast.;Spirituality & Religion;;Binary Choice;Economy, Health, and Environment;No, I do not fast.;No, I do not fast.;Yes, I fast for religious reasons as a way to reflect and grow spiritually.;0.6893770694732666;1.0;0.6893770694732666;1.0
371;371;Do you have a garden?;;;GPT-4 generated;;;;;No, I don't have a garden.;Yes, I have a lovely garden.;Housing & Lifestyle;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I don't have a garden.;No, I do not have one.;Yes, I have a small garden where I grow some vegetables and herbs.;1.0;0.7064188718795776;0.6646021604537964;0.880676805973053
372;372;Do you have a home office?;;;GPT-4 generated;;;;;No, I don't have one.;Yes, I do have a home office.;Housing & Lifestyle;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I don't have one.;No, I don't have one.;Yes, I have a dedicated space in my home where I work and take care of my professional responsibilities.;1.0;0.7121732234954834;0.658622145652771;1.0
373;373;Do you prefer minimalistic or maximalistic decor?;;;GPT-4 generated;;;;;Maximalistic decor all the way, baby!;Minimalistic, less is more darling.;Housing & Lifestyle;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Maximalistic decor.;Maximalistic decor, vibrant and opulent designs.;I prefer minimalistic decor because I believe in simplicity and maintaining a clutter-free environment.;1.0;0.5341041684150696;0.6815285682678223;1.0
374;374;Do you rent or own furniture and appliances?;;;GPT-4 generated;;;;;Rent furniture, own appliances.;Rent furniture, own appliances.;Housing & Lifestyle;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Own furniture and appliances.;Rent furniture, own appliances.;I prefer to own furniture and appliances because it gives me a sense of stability and the freedom to make changes to my living space as I see fit.;0.6546156406402588;1.0;1.0;0.7944802641868591
375;375;How often do you redecorate your home?;;;GPT-4 generated;;;;;Not very often, maybe every few years.;Not very often, maybe every decade.;Housing & Lifestyle;;Ordinal Scale;Lifestyle, Entertainment, and Daily Living;Not often, maybe every few years.;Not often, I prefer traditional decor.;I redecorate my home every 3-5 years to give it a fresh look and feel.;0.912814736366272;0.6381537914276123;0.8893095254898071;0.6680629849433899
376;376;Do you have a cleaning routine?;;;GPT-4 generated;;;;;Yes, I clean my place regularly.;Yes, I have a cleaning routine.;Housing & Lifestyle;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I have a cleaning routine.;Yes, I have a cleaning routine.;Yes, I have a pretty strict cleaning routine that helps me keep my home tidy and organized.;0.7659040689468384;0.9999998807907104;0.7659040689468384;0.9999998807907104
377;377;Do you use cleaning services?;;;GPT-4 generated;;;;;Yes, I use cleaning services.;Yes, I do use cleaning services.;Housing & Lifestyle;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I use cleaning services.;Yes, I use cleaning services.;Yes, I do use cleaning services to help keep my home tidy and organized.;1.000000238418579;0.931713879108429;0.9796206951141356;1.000000238418579
378;378;"Do you have a ""man cave"" or a personal space at home?";;;GPT-4 generated;;;;;Yes, I have a man cave.;Yes, I have a man cave.;Housing & Lifestyle;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I don't have one.;No, I don't have one.;Yes, I have a personal space at home where I can relax and unwind.;0.7260109782218933;0.7260109782218933;1.0;1.0
379;379;Do you prefer open floor plans?;;;GPT-4 generated;;;;;Yes, open floor plans are great!;Yes, open floor plans are splendid!;Housing & Lifestyle;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I love open floor plans.;Yes, I do prefer open floor plans.;As a person who values privacy and defined spaces, I prefer homes with a mix of open and closed floor plans for different areas.;0.8955124616622925;0.8374523520469666;0.981049656867981;0.9436228275299072
380;380;Do you have house plants?;;;GPT-4 generated;;;;;Yes, I have a few.;Yes, I have a few.;Housing & Lifestyle;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I do not have any.;Yes, I have house plants.;Yes, I have several house plants that I enjoy taking care of.;0.7783119678497314;0.7861570119857788;1.0000003576278689;0.6865891218185425
381;381;How do you take your coffee?;;;GPT-4 generated;;;;;Black, no sugar, please.;With a splash of milk, please.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Black, no sugar or cream.;With milk and sugar, please.;I take my coffee black, no sugar or cream.;0.6896435022354126;0.9122697114944458;0.6456393003463745;0.6671417355537415
382;382;Do you eat breakfast daily?;;;GPT-4 generated;;;;;Yes, I eat breakfast every day.;Yes, absolutely, can't function without it!;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I eat breakfast daily.;Yes, I eat breakfast daily.;Yes, I make sure to eat breakfast every day because it gives me the energy and focus I need to start my day.;0.9664735198020936;0.5766295194625854;0.5488168597221375;1.0
383;383;Do you have food delivered often?;;;GPT-4 generated;;;;;Yes, I get food delivered often.;Yes, quite frequently, actually.;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I have food delivered often.;No, I prefer home-cooked meals.;Yes, I have food delivered occasionally for convenience or to support local businesses.;0.9910190105438232;0.6475682854652405;0.6309820413589478;0.7095630168914795
384;384;Do you prefer fresh or frozen vegetables?;;;GPT-4 generated;;;;;Fresh vegetables.;Fresh, of course!;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Fresh vegetables, of course!;Fresh vegetables, of course!;I prefer fresh vegetables because they usually have better flavor and texture compared to frozen ones.;1.0;0.939746618270874;1.0;1.000000238418579
385;385;Do you enjoy exotic fruits?;;;GPT-4 generated;;;;;Yes, I love exotic fruits!;Yes, absolutely love exotic fruits!;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I enjoy exotic fruits.;Yes, I enjoy exotic fruits.;Yes, I enjoy trying new and exotic fruits as they offer unique flavors and a different eating experience.;0.9776445627212524;0.8439188599586487;0.856351912021637;1.0000001192092896
386;386;Do you like fusion cuisine?;;;GPT-4 generated;;;;;Yes, I love trying new flavors!;Not really, prefer traditional British fare.;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I enjoy fusion cuisine.;Yes, I enjoy fusion cuisine.;I enjoy fusion cuisine because it allows for creative combinations of flavors and ingredients.;0.8465214967727661;0.6777666807174683;0.6964564919471741;0.9999998211860657
387;387;Do you eat canned foods?;;;GPT-4 generated;;;;;Yes, I eat canned foods.;Yes, occasionally for convenience.;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I enjoy eating canned foods.;Yes, I enjoy canned foods.;Yes, I do eat canned foods occasionally, especially when fresh options are not available.;0.9552288055419922;0.6437587738037109;0.6036317348480225;0.9542437195777893
388;388;Do you enjoy tasting menus at restaurants?;;;GPT-4 generated;;;;;Yes, I love tasting menus!;Absolutely, they're a culinary delight!;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I love tasting menus!;Yes, I enjoy tasting menus.;Yes, I enjoy tasting menus at restaurants because they allow me to experience a wide variety of dishes and flavors in a single sitting.;1.0;0.7154552936553955;0.716769814491272;0.9798201322555542
389;389;Do you prefer milk, dark, or white chocolate?;;;GPT-4 generated;;;;;Milk chocolate all the way!;Milk chocolate, of course, darling!;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Milk chocolate, please.;Traditional English tea: Milk chocolate.;I prefer dark chocolate because I enjoy the rich, intense flavor.;0.7509396076202393;0.6503612995147705;0.7819498777389526;0.6917510032653809
390;390;Do you eat spicy food?;;;GPT-4 generated;;;;;Yes, I love spicy food!;Some of us do, yes.;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I enjoy spicy food.;No, I prefer milder flavors.;Yes, I enjoy eating spicy food!;0.9798392057418824;0.5611543655395508;0.5097759962081909;0.7649517059326172
391;391;Have you ever been to a live sports event?;;;GPT-4 generated;;;;;Yes, many times. Go team!;Yes, many times.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;Yes, I have been to games.;No, I haven't been to one.;Yes, I've been to several live sports events, and I always enjoy the atmosphere and excitement.;0.6026300191879272;0.6137253046035767;0.7364400625228882;0.7801290154457092
392;392;Do you play fantasy sports?;;;GPT-4 generated;;;;;Yes, I love playing fantasy sports!;No, I do not play.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;No, I don't play fantasy sports.;No, I do not play fantasy sports.;No, I don't play fantasy sports. I prefer to play and watch sports without the fantasy aspect.;0.8489855527877808;0.9110689163208008;0.6783665418624878;0.9921848773956299
393;393;Do you enjoy kayaking or canoeing?;;;GPT-4 generated;;;;;Love kayaking, it's so much fun!;Yes, I quite enjoy canoeing.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;No, I do not.;No, I do not.;I really enjoy kayaking because it allows me to be closer to the water and navigate through different terrains.;0.4403770565986633;0.5786700248718262;0.7202266454696655;1.0000001192092896
394;394;Do you practice yoga or Pilates?;;;GPT-4 generated;;;;;No, I don't do either.;Neither, I prefer a good jog.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;No, I don't practice yoga or Pilates.;No, I don't practice either.;I practice yoga because I find it helps me connect with my body and mind in a holistic way.;0.8046881556510925;0.6599467396736145;0.5938995480537415;0.759253740310669
